rowid,wordplay,indicator,clue_rowids
1,alternation,abnormal,[623961](/data/clues/623961)
2,alternation,after odd losses,[139327](/data/clues/139327)
3,alternation,after regular excisions,[107211](/data/clues/107211)
4,alternation,alternately,[407055](/data/clues/407055)
5,alternation,alternating,[449798](/data/clues/449798)
6,alternation,alternative,[623976](/data/clues/623976)
7,alternation,alternatively,[496801](/data/clues/496801)
8,alternation,alternatives,[411337](/data/clues/411337)
9,alternation,an even distribution of fruit,[412172](/data/clues/412172)
10,alternation,an occasional,[415457](/data/clues/415457)
11,alternation,appearing alternately,[473579](/data/clues/473579)
12,alternation,appearing intermittently,[395879](/data/clues/395879)
13,alternation,appearing regularly,"[171217](/data/clues/171217), [643614](/data/clues/643614)"
14,alternation,appearing regularly in,[614845](/data/clues/614845)
15,alternation,applied evenly,[353530](/data/clues/353530)
16,alternation,are oddly,[207275](/data/clues/207275)
17,alternation,at intervals,"[304791](/data/clues/304791), [370799](/data/clues/370799), [660785](/data/clues/660785), [665444](/data/clues/665444)"
18,alternation,at odds,[338027](/data/clues/338027)
19,alternation,at regular intervals,[349212](/data/clues/349212)
20,alternation,bits,[322315](/data/clues/322315)
21,alternation,bits regularly detached,[140794](/data/clues/140794)
22,alternation,bypassing the odd,[345206](/data/clues/345206)
23,alternation,characters,[337062](/data/clues/337062)
24,alternation,characters regularly seen,[296173](/data/clues/296173)
25,alternation,consistently,[410130](/data/clues/410130)
26,alternation,crossing out every other letter,[406219](/data/clues/406219)
27,alternation,cut evenly,[666977](/data/clues/666977)
28,alternation,ditching regulars,[199189](/data/clues/199189)
29,alternation,dropping odds,[340814](/data/clues/340814)
30,alternation,even,[409591](/data/clues/409591)
31,alternation,evenly,"[120086](/data/clues/120086), [183661](/data/clues/183661), [357845](/data/clues/357845)"
32,alternation,evenly applied,[413690](/data/clues/413690)
33,alternation,evens out,"[488807](/data/clues/488807), [645173](/data/clues/645173)"
34,alternation,every now and then,"[352813](/data/clues/352813), [404850](/data/clues/404850), [449145](/data/clues/449145), [479724](/data/clues/479724), [645784](/data/clues/645784), [646340](/data/clues/646340), [662594](/data/clues/662594), [663868](/data/clues/663868)"
35,alternation,every other,"[238573](/data/clues/238573), [304369](/data/clues/304369), [413591](/data/clues/413591), [414955](/data/clues/414955), [437174](/data/clues/437174), [486700](/data/clues/486700), [492069](/data/clues/492069), [495672](/data/clues/495672), [650366](/data/clues/650366)"
36,alternation,every other character,[488265](/data/clues/488265)
37,alternation,every other element,[318351](/data/clues/318351)
38,alternation,every other one,[310397](/data/clues/310397)
39,alternation,every other one blocked off,[118995](/data/clues/118995)
40,alternation,every second,"[157892](/data/clues/157892), [406954](/data/clues/406954), [492048](/data/clues/492048), [666059](/data/clues/666059)"
41,alternation,every so often,[409045](/data/clues/409045)
42,alternation,exceptionally,[415458](/data/clues/415458)
43,alternation,frequently,"[142816](/data/clues/142816), [404543](/data/clues/404543), [405173](/data/clues/405173), [410099](/data/clues/410099)"
44,alternation,from time to time,"[317102](/data/clues/317102), [317418](/data/clues/317418), [406300](/data/clues/406300), [490974](/data/clues/490974), [664840](/data/clues/664840)"
45,alternation,getting nothing even,[412986](/data/clues/412986)
46,alternation,getting oddly dismissed,[155082](/data/clues/155082)
47,alternation,going off,[289715](/data/clues/289715)
48,alternation,having odd cancellations,[643931](/data/clues/643931)
49,alternation,having vanquished the odds,[662617](/data/clues/662617)
50,alternation,ignore the odds,"[377734](/data/clues/377734), [465370](/data/clues/465370)"
51,alternation,ignoring odds,[312648](/data/clues/312648)
52,alternation,ignoring regulars,[343822](/data/clues/343822)
53,alternation,ignoring the odds,"[86853](/data/clues/86853), [300590](/data/clues/300590), [336212](/data/clues/336212), [354990](/data/clues/354990), [399158](/data/clues/399158), [415198](/data/clues/415198), [431801](/data/clues/431801), [437776](/data/clues/437776)"
54,alternation,in a regular fashion,[411242](/data/clues/411242)
55,alternation,in an odd way,[414558](/data/clues/414558)
56,alternation,in odd places,[114614](/data/clues/114614)
57,alternation,in places,[494883](/data/clues/494883)
58,alternation,in regular instalments,[482471](/data/clues/482471)
59,alternation,intermittently,"[123136](/data/clues/123136), [146500](/data/clues/146500), [336265](/data/clues/336265), [410643](/data/clues/410643), [446567](/data/clues/446567), [453328](/data/clues/453328), [484276](/data/clues/484276), [484790](/data/clues/484790), [487376](/data/clues/487376), [488972](/data/clues/488972), [492293](/data/clues/492293), [492693](/data/clues/492693), [497783](/data/clues/497783), [623222](/data/clues/623222), [661115](/data/clues/661115)"
60,alternation,irregularly,[496259](/data/clues/496259)
61,alternation,is regularly not available,[410493](/data/clues/410493)
62,alternation,is regularly showing,[664000](/data/clues/664000)
63,alternation,just over half,[347016](/data/clues/347016)
64,alternation,just the regulars,[109859](/data/clues/109859)
65,alternation,lacking,"[388553](/data/clues/388553), [448119](/data/clues/448119)"
66,alternation,lose elements regularly,[489990](/data/clues/489990)
67,alternation,losing regulars,"[365151](/data/clues/365151), [445210](/data/clues/445210)"
68,alternation,mislaying the odds,[498519](/data/clues/498519)
69,alternation,missing every other,[406309](/data/clues/406309)
70,alternation,missing every other letter,[354313](/data/clues/354313)
71,alternation,missing in odd places,[316379](/data/clues/316379)
72,alternation,missing odd,[430422](/data/clues/430422)
73,alternation,not even,"[408320](/data/clues/408320), [433721](/data/clues/433721), [486154](/data/clues/486154)"
74,alternation,not odd,"[218719](/data/clues/218719), [316684](/data/clues/316684)"
75,alternation,not oddly,[344923](/data/clues/344923)
76,alternation,not regularly found,[163327](/data/clues/163327)
77,alternation,nothing even,[463221](/data/clues/463221)
78,alternation,nothing odd,"[351170](/data/clues/351170), [369852](/data/clues/369852), [492703](/data/clues/492703)"
79,alternation,nothing odd in that,[663063](/data/clues/663063)
80,alternation,nothing odd there,"[333449](/data/clues/333449), [420068](/data/clues/420068)"
81,alternation,now and again,"[118029](/data/clues/118029), [137581](/data/clues/137581), [346418](/data/clues/346418), [664658](/data/clues/664658)"
